Date,OEM_Part_ID,Part_Name,Category,Manufacturer,Demand,Stock_Level,Sensor_Temperature,Sensor_Vibration,Sensor_Pressure,Supplier_Reliability_Score,Defect_Rate,Late_Delivery_Frequency,Lead_Time_Days,Route_Duration,Traffic_Impact,Delivery_Status,Transportation_Cost,Fuel_Consumption
2021-04-09,VW0465,Brake Pads,Engine,Continental AG,105,349,111.58,0.78,71.72,0.93,0.07,0,12,157,Medium,Delayed,92.48,9.22
2021-04-10,VW0466,Fuel Pump,Engine,Exide,346,310,115.83,0.33,93.9,0.92,0.05,3,26,155,Low,On Time,185.41,8.08
2021-04-11,VW0467,Alternator,Fuel System,Bosch,277,158,84.39,1.8,68.26,0.85,0.06,3,25,179,Medium,Delayed,150.82,12.7
2021-04-12,VW0468,Airbag Module,Engine,Behr Hella,264,103,83.91,1.7,62.02,0.91,0.05,4,24,122,High,In Transit,98.88,11.01
2021-04-13,VW0469,Turbocharger,Fuel System,Continental AG,124,784,95.3,1.09,56.89,0.94,0.05,4,16,104,Low,Delayed,163.42,12.83
2021-04-14,VW0470,Alternator,Safety System,Garrett Motion,100,405,95.68,1.57,70.3,0.91,0.1,1,26,110,High,In Transit,169.79,9.54
2021-04-15,VW0471,Brake Pads,Safety System,Bosch,307,732,82.96,1.84,94.43,0.97,0.06,3,14,128,Medium,Delayed,101.19,11.14
2021-04-16,VW0472,Battery,Electrical,Exide,152,566,112.39,2.1,76.56,0.96,0.06,1,20,44,Low,Delayed,54.89,6.52
2021-04-17,VW0473,Turbocharger,Electrical,Continental AG,381,119,82.22,1.06,79.27,0.99,0.02,2,11,56,High,Delayed,170.17,7.83
2021-04-18,VW0474,Alternator,Safety System,Bosch,407,694,89.13,2.09,72.18,0.89,0.05,0,11,83,High,In Transit,138.6,7.27
2021-04-19,VW0475,Turbocharger,Engine,Garrett Motion,487,345,115.66,1.81,95.76,0.98,0.04,1,14,30,Low,In Transit,192.86,5.54
2021-04-20,VW0476,Turbocharger,Fuel System,Exide,367,591,96.03,0.92,40.38,0.87,0.04,1,19,53,Low,In Transit,118.29,6.39
2021-04-21,VW0477,Turbocharger,Engine,Behr Hella,376,538,113.61,1.83,99.5,0.92,0.02,1,18,98,High,Delayed,67.19,6.93
2021-04-22,VW0478,Brake Pads,Safety System,Bosch,433,561,110.96,1.96,85.33,0.98,0.05,2,23,102,Low,In Transit,137.22,12.33
2021-04-23,VW0479,Turbocharger,Engine,Bosch,70,260,82.82,1.51,42.11,0.86,0.04,4,18,66,High,In Transit,166.96,8.58
2021-04-24,VW0480,Turbocharger,Engine,Garrett Motion,415,221,111.97,2.05,75.1,0.89,0.1,2,24,133,Low,In Transit,128.09,9.14
2021-04-25,VW0481,Fuel Pump,Electrical,Behr Hella,377,584,88.34,1.52,99.15,0.89,0.04,0,24,133,High,In Transit,175.21,12.58
2021-04-26,VW0482,Alternator,Braking System,Bosch,95,183,112.7,1.93,77.41,0.91,0.09,0,17,41,Low,In Transit,144.52,6.5
2021-04-27,VW0483,Brake Pads,Braking System,Continental AG,118,175,101.18,0.43,80.67,0.98,0.03,2,22,120,Low,On Time,188.31,11.11
2021-04-28,VW0484,Battery,Electrical,Behr Hella,134,467,100.72,1.43,77.82,0.86,0.04,4,22,53,Low,In Transit,51.56,6.73
2021-04-29,VW0485,Alternator,Safety System,Exide,145,578,96.02,1.52,73.13,0.9,0.03,1,24,111,High,In Transit,79.2,5.9
2021-04-30,VW0486,Turbocharger,Electrical,Continental AG,441,707,85.27,0.74,86.76,0.86,0.04,2,10,48,High,On Time,175.7,10.18
2021-05-01,VW0487,Turbocharger,Braking System,Garrett Motion,347,542,109.01,2.07,80.29,0.91,0.09,2,23,119,Medium,Delayed,119.42,12.62
2021-05-02,VW0488,Alternator,Engine,Bosch,101,311,119.59,1.97,50.83,0.95,0.1,0,23,99,Low,On Time,106.35,10.5
2021-05-03,VW0489,Alternator,Safety System,Bosch,128,635,83.09,2.16,48.04,0.87,0.08,3,22,74,Medium,Delayed,124.3,6.18
2021-05-04,VW0490,Battery,Braking System,Bosch,82,719,87.42,1.54,46.42,0.96,0.07,0,28,60,High,Delayed,149.42,10.4
2021-05-05,VW0491,Airbag Module,Fuel System,Bosch,214,576,109.19,0.94,70.87,0.85,0.09,1,10,91,High,In Transit,63.51,8.75
2021-05-06,VW0492,Fuel Pump,Braking System,Continental AG,316,367,88.45,0.97,85.81,0.9,0.06,3,25,98,Low,Delayed,102.46,6.02
2021-05-07,VW0493,Airbag Module,Fuel System,Continental AG,411,427,103.77,2.06,56.85,0.93,0.03,4,28,68,Low,In Transit,136.34,12.2
2021-05-08,VW0494,Turbocharger,Electrical,Garrett Motion,152,362,90.68,0.33,43.92,0.9,0.09,4,28,46,Low,Delayed,198.54,14.31
2021-05-09,VW0495,Battery,Engine,Exide,72,559,93.52,1.5,81.32,0.88,0.06,1,13,177,High,In Transit,120.54,11.04
2021-05-10,VW0496,Brake Pads,Braking System,Exide,61,389,81.69,0.39,73.8,0.91,0.08,0,22,60,Medium,Delayed,165.66,9.49
2021-05-11,VW0497,Brake Pads,Electrical,Exide,53,672,87.25,0.73,94.53,0.97,0.01,1,23,57,Medium,Delayed,78.32,8.45
2021-05-12,VW0498,Battery,Safety System,Bosch,442,246,92.78,1.99,70.28,0.96,0.06,0,14,114,Medium,Delayed,111.45,8.96
2021-05-13,VW0499,Airbag Module,Fuel System,Continental AG,108,139,87.15,1.27,44.37,0.99,0.1,1,17,167,High,Delayed,93.04,12.04
2021-05-14,VW0500,Fuel Pump,Safety System,Bosch,356,119,98.85,0.76,83.1,0.88,0.09,3,14,72,Low,In Transit,182.87,11.18
2021-05-15,VW0501,Brake Pads,Safety System,Bosch,214,452,83.21,2.17,43.72,0.91,0.09,4,22,54,Low,Delayed,114.25,8.69
2021-05-16,VW0502,Airbag Module,Electrical,Behr Hella,392,405,98.96,0.37,89.12,0.89,0.03,4,17,47,High,In Transit,115.43,6.27
2021-05-17,VW0503,Alternator,Electrical,Behr Hella,319,341,107.96,1.31,73.72,0.91,0.09,4,13,155,Low,On Time,66.81,9.23
2021-05-18,VW0504,Fuel Pump,Fuel System,Bosch,200,761,98.86,1.18,61.59,0.99,0.04,1,20,165,High,On Time,87.14,11.68
2021-05-19,VW0505,Turbocharger,Safety System,Garrett Motion,276,564,103.86,1.66,73.31,0.87,0.09,3,13,168,High,On Time,135.13,6.63
2021-05-20,VW0506,Brake Pads,Safety System,Garrett Motion,276,512,109.86,1.56,40.03,0.87,0.09,1,13,31,Low,Delayed,165.23,10.59
2021-05-21,VW0507,Airbag Module,Safety System,Continental AG,440,782,96.12,2.11,56.12,0.92,0.02,3,11,92,High,Delayed,65.12,5.02
2021-05-22,VW0508,Fuel Pump,Fuel System,Garrett Motion,491,178,114.89,1.26,83.99,0.89,0.02,1,19,42,High,In Transit,62.08,12.14
2021-05-23,VW0509,Fuel Pump,Safety System,Continental AG,445,688,106.64,0.33,76.51,0.91,0.07,2,21,144,High,On Time,127.1,8.11
2021-05-24,VW0510,Airbag Module,Electrical,Exide,125,589,110.54,0.91,46.94,0.96,0.05,0,20,144,Medium,In Transit,155.86,14.51
2021-05-25,VW0511,Brake Pads,Fuel System,Exide,197,260,87.91,0.82,41.18,0.93,0.05,4,23,67,High,In Transit,119.22,5.29
2021-05-26,VW0512,Battery,Safety System,Continental AG,240,358,108.8,2.37,40.27,0.95,0.1,3,26,114,Medium,Delayed,76.6,13.03
2021-05-27,VW0513,Fuel Pump,Electrical,Behr Hella,415,297,117.91,1.52,85.19,0.87,0.07,1,29,100,Medium,On Time,104.53,11.54
2021-05-28,VW0514,Turbocharger,Safety System,Exide,57,641,95.13,2.18,91.59,0.99,0.04,3,27,82,High,Delayed,162.41,10.16
2021-05-29,VW0515,Battery,Electrical,Bosch,266,335,89.23,1.89,66.51,0.97,0.07,0,28,88,Low,On Time,114.59,6.73
2021-05-30,VW0516,Turbocharger,Engine,Continental AG,382,527,89.14,0.39,42.73,0.9,0.07,4,20,71,High,Delayed,171.79,9.86
2021-05-31,VW0517,Alternator,Safety System,Behr Hella,351,453,87.35,2.05,70.82,0.86,0.01,1,28,109,High,Delayed,164.3,11.81
2021-06-01,VW0518,Battery,Braking System,Continental AG,73,470,111.87,0.79,49.6,0.89,0.08,1,23,78,Medium,In Transit,95.79,10.68
2021-06-02,VW0519,Battery,Electrical,Continental AG,162,773,89.61,2.05,70.82,0.9,0.01,4,18,138,Low,On Time,153.17,10.85
2021-06-03,VW0520,Brake Pads,Fuel System,Exide,404,765,87.1,2.29,65.44,0.86,0.06,2,23,160,Medium,Delayed,164.21,11.49
2021-06-04,VW0521,Airbag Module,Braking System,Behr Hella,152,772,81.96,2.13,79.05,0.93,0.02,1,28,154,High,Delayed,86.69,7.42
2021-06-05,VW0522,Turbocharger,Fuel System,Garrett Motion,63,361,114.22,0.61,91.8,0.9,0.07,2,21,65,High,Delayed,134.64,6.56
2021-06-06,VW0523,Alternator,Engine,Continental AG,478,225,95.3,1.59,78.0,0.97,0.01,3,24,153,Low,On Time,81.01,8.92
2021-06-07,VW0524,Airbag Module,Fuel System,Bosch,412,620,96.46,1.98,62.95,0.95,0.02,1,26,143,Low,On Time,154.33,14.61
2021-06-08,VW0525,Turbocharger,Engine,Exide,432,466,99.84,2.2,66.64,0.98,0.06,4,27,162,Medium,Delayed,182.04,9.96
2021-06-09,VW0526,Alternator,Electrical,Behr Hella,450,130,101.1,2.2,94.42,0.94,0.09,0,23,106,Low,Delayed,136.8,10.59
2021-06-10,VW0527,Battery,Safety System,Garrett Motion,94,243,99.01,1.04,84.85,0.91,0.09,0,13,171,High,On Time,133.05,9.45
2021-06-11,VW0528,Turbocharger,Engine,Continental AG,166,179,112.59,0.46,48.52,0.9,0.02,2,16,73,High,Delayed,101.33,5.4
2021-06-12,VW0529,Brake Pads,Electrical,Behr Hella,234,373,91.95,2.49,79.81,0.91,0.07,1,23,148,High,Delayed,71.09,9.85
2021-06-13,VW0530,Fuel Pump,Braking System,Behr Hella,488,614,116.03,0.59,65.68,0.95,0.04,1,27,85,Medium,Delayed,90.42,9.96
2021-06-14,VW0531,Alternator,Fuel System,Continental AG,280,435,117.09,0.83,68.7,0.94,0.1,4,13,129,High,In Transit,186.26,12.76
2021-06-15,VW0532,Airbag Module,Fuel System,Exide,458,471,98.31,0.74,44.03,0.91,0.03,0,27,109,High,In Transit,77.43,12.73
2021-06-16,VW0533,Turbocharger,Fuel System,Exide,432,324,86.33,2.4,46.93,0.92,0.04,4,17,110,Low,In Transit,67.37,5.07
2021-06-17,VW0534,Battery,Electrical,Behr Hella,198,176,86.14,2.01,48.68,0.95,0.07,2,27,64,Medium,In Transit,57.43,7.01
2021-06-18,VW0535,Brake Pads,Electrical,Continental AG,427,741,110.05,2.36,80.39,0.97,0.04,3,29,131,High,On Time,70.43,12.52
2021-06-19,VW0536,Brake Pads,Fuel System,Garrett Motion,495,184,91.58,2.5,74.17,0.93,0.03,4,20,34,High,In Transit,89.15,5.33
2021-06-20,VW0537,Fuel Pump,Safety System,Continental AG,363,185,98.45,1.75,84.66,0.96,0.08,4,28,94,High,Delayed,163.03,14.67
2021-06-21,VW0538,Turbocharger,Braking System,Garrett Motion,313,227,84.41,1.46,97.06,0.92,0.03,1,19,79,High,Delayed,175.54,5.71
2021-06-22,VW0539,Fuel Pump,Engine,Continental AG,172,471,80.34,0.42,77.06,1.0,0.06,4,19,49,Low,On Time,183.28,7.5
2021-06-23,VW0540,Battery,Electrical,Behr Hella,490,406,112.41,2.36,64.94,0.94,0.03,0,22,150,High,On Time,164.75,10.4
2021-06-24,VW0541,Brake Pads,Engine,Garrett Motion,196,113,105.45,2.17,48.77,0.93,0.03,3,23,46,High,In Transit,199.99,7.84
2021-06-25,VW0542,Airbag Module,Safety System,Bosch,453,236,117.43,0.94,84.8,0.87,0.01,1,13,139,High,Delayed,100.1,8.09
2021-06-26,VW0543,Brake Pads,Safety System,Continental AG,448,664,115.82,0.4,72.21,0.91,0.03,1,12,37,Low,Delayed,98.19,14.93
2021-06-27,VW0544,Battery,Engine,Exide,154,619,113.4,1.3,44.72,0.91,0.05,2,16,131,Medium,Delayed,163.51,5.5
2021-06-28,VW0545,Fuel Pump,Braking System,Behr Hella,289,134,100.84,0.47,45.59,0.89,0.09,1,27,110,Medium,On Time,89.76,9.16
2021-06-29,VW0546,Alternator,Electrical,Exide,417,100,110.08,1.58,58.46,0.88,0.01,3,17,145,Medium,In Transit,81.39,8.43
2021-06-30,VW0547,Turbocharger,Fuel System,Bosch,433,608,109.07,1.64,80.84,0.88,0.03,1,18,125,High,Delayed,187.58,11.77
2021-07-01,VW0548,Airbag Module,Safety System,Exide,205,340,113.26,2.45,78.91,0.89,0.06,3,27,128,Low,On Time,60.44,5.87
2021-07-02,VW0549,Turbocharger,Braking System,Behr Hella,190,157,99.36,0.6,67.76,0.93,0.06,1,27,54,High,On Time,198.4,7.98
2021-07-03,VW0550,Airbag Module,Electrical,Continental AG,213,510,94.0,0.5,65.85,0.89,0.02,0,27,158,High,In Transit,162.84,6.71
2021-07-04,VW0551,Airbag Module,Fuel System,Bosch,146,300,81.73,2.5,40.77,0.98,0.05,3,20,88,High,In Transit,110.16,13.26
2021-07-05,VW0552,Brake Pads,Fuel System,Garrett Motion,366,751,92.68,1.32,46.35,0.98,0.06,3,28,116,Medium,In Transit,190.69,7.35
2021-07-06,VW0553,Turbocharger,Safety System,Exide,388,170,115.75,2.49,68.86,0.86,0.06,0,19,161,Medium,Delayed,81.76,8.85
2021-07-07,VW0554,Alternator,Fuel System,Continental AG,138,202,82.63,0.47,97.75,0.92,0.02,4,15,103,High,Delayed,162.63,13.16
2021-07-08,VW0555,Airbag Module,Braking System,Garrett Motion,189,304,119.45,0.31,48.81,0.86,0.03,2,12,87,Medium,On Time,183.81,10.71
2021-07-09,VW0556,Battery,Fuel System,Garrett Motion,472,660,93.69,0.58,86.69,0.9,0.08,1,23,143,Low,In Transit,106.01,14.7
2021-07-10,VW0557,Fuel Pump,Electrical,Garrett Motion,291,536,82.03,1.35,93.84,0.94,0.03,1,11,31,High,In Transit,156.37,5.05
2021-07-11,VW0558,Fuel Pump,Fuel System,Bosch,394,691,94.64,2.14,64.93,0.88,0.06,1,22,96,Medium,Delayed,97.7,9.51
2021-07-12,VW0559,Airbag Module,Safety System,Garrett Motion,144,706,116.65,2.4,40.19,0.9,0.02,1,12,64,High,On Time,151.25,6.87
2021-07-13,VW0560,Fuel Pump,Braking System,Bosch,173,522,112.09,2.43,85.61,0.87,0.02,2,22,142,Low,Delayed,97.8,13.52
2021-07-14,VW0561,Brake Pads,Braking System,Exide,333,622,83.39,1.62,93.83,0.93,0.07,1,16,31,High,Delayed,85.21,9.75
2021-07-15,VW0562,Brake Pads,Electrical,Exide,162,202,104.03,1.6,62.34,0.87,0.02,0,23,119,Low,In Transit,108.75,10.75
2021-07-16,VW0563,Airbag Module,Braking System,Garrett Motion,231,716,81.57,1.26,93.54,0.94,0.07,3,28,146,High,Delayed,81.21,9.05
2021-07-17,VW0564,Turbocharger,Electrical,Exide,190,459,105.08,1.51,53.19,0.88,0.08,2,21,68,Medium,Delayed,135.04,8.36
2021-07-18,VW0565,Fuel Pump,Fuel System,Bosch,356,134,83.71,2.43,59.95,0.88,0.04,1,24,54,High,On Time,133.15,7.24
2021-07-19,VW0566,Battery,Braking System,Exide,297,537,115.47,0.79,73.68,0.94,0.09,2,13,153,Low,Delayed,103.2,6.95
2021-07-20,VW0567,Fuel Pump,Safety System,Bosch,482,652,105.67,1.22,64.03,0.86,0.05,0,16,127,High,In Transit,104.84,9.75
2021-07-21,VW0568,Alternator,Engine,Bosch,149,473,90.78,1.18,51.02,0.97,0.03,3,18,54,Medium,In Transit,58.76,14.19
2021-07-22,VW0569,Airbag Module,Engine,Behr Hella,145,486,103.3,0.66,91.78,0.98,0.08,0,28,137,Low,On Time,180.36,14.01
2021-07-23,VW0570,Alternator,Braking System,Garrett Motion,70,750,88.69,0.74,47.96,0.9,0.07,0,16,78,Low,Delayed,132.46,5.61
2021-07-24,VW0571,Turbocharger,Safety System,Bosch,454,423,96.44,2.24,93.58,0.9,0.03,2,25,47,Low,Delayed,77.12,8.55
2021-07-25,VW0572,Airbag Module,Engine,Continental AG,476,172,112.41,0.86,51.24,0.88,0.06,2,15,174,Medium,Delayed,195.38,12.15
2021-07-26,VW0573,Alternator,Braking System,Exide,221,325,100.77,0.74,46.24,0.97,0.07,3,13,103,High,In Transit,102.22,13.74
2021-07-27,VW0574,Alternator,Braking System,Behr Hella,380,650,87.94,0.81,41.0,1.0,0.05,3,20,157,High,On Time,92.01,14.18
2021-07-28,VW0575,Battery,Safety System,Continental AG,316,172,83.24,0.61,53.7,0.92,0.07,2,16,159,Low,On Time,76.24,7.92
2021-07-29,VW0576,Battery,Fuel System,Continental AG,345,595,85.7,0.35,40.82,0.94,0.04,1,15,107,Low,On Time,187.78,14.62
2021-07-30,VW0577,Brake Pads,Fuel System,Exide,238,685,112.84,1.51,64.96,0.87,0.01,3,24,146,High,On Time,139.08,7.59
2021-07-31,VW0578,Brake Pads,Electrical,Behr Hella,307,408,99.88,1.08,43.38,0.94,0.05,3,27,79,Low,On Time,133.32,10.05
2021-08-01,VW0579,Brake Pads,Electrical,Exide,473,335,94.15,1.23,88.08,0.96,0.04,2,28,153,High,Delayed,190.5,14.68
2021-08-02,VW0580,Alternator,Braking System,Behr Hella,51,654,80.41,0.65,56.63,0.93,0.08,1,18,114,Low,Delayed,69.53,9.9
2021-08-03,VW0581,Airbag Module,Fuel System,Garrett Motion,298,230,118.76,0.94,93.35,0.87,0.02,0,27,120,Medium,On Time,160.64,14.42
2021-08-04,VW0582,Fuel Pump,Engine,Bosch,154,431,111.96,0.58,86.38,0.91,0.06,4,15,48,High,In Transit,154.16,14.97
2021-08-05,VW0583,Battery,Braking System,Continental AG,366,718,105.85,1.86,46.48,0.88,0.04,4,12,114,High,Delayed,102.65,6.16
2021-08-06,VW0584,Battery,Safety System,Continental AG,376,347,94.35,1.02,89.77,0.99,0.04,3,22,72,Low,In Transit,74.98,7.46
2021-08-07,VW0585,Fuel Pump,Electrical,Behr Hella,309,283,111.86,1.24,83.06,0.87,0.04,2,24,177,Low,Delayed,94.31,10.53
2021-08-08,VW0586,Fuel Pump,Engine,Continental AG,151,414,98.72,1.67,87.88,0.91,0.09,0,11,120,Medium,In Transit,151.87,10.71
2021-08-09,VW0587,Battery,Braking System,Continental AG,429,360,86.57,0.79,50.17,0.86,0.04,2,16,117,High,In Transit,88.86,10.69
2021-08-10,VW0588,Fuel Pump,Fuel System,Bosch,200,709,92.95,1.45,95.03,0.92,0.03,1,18,60,High,In Transit,50.25,12.22
2021-08-11,VW0589,Battery,Engine,Bosch,209,509,107.94,0.74,67.92,0.98,0.02,4,18,70,Medium,Delayed,113.09,5.24
2021-08-12,VW0590,Fuel Pump,Fuel System,Exide,257,243,97.09,0.75,66.16,1.0,0.09,4,13,175,High,Delayed,104.33,7.4
2021-08-13,VW0591,Airbag Module,Electrical,Bosch,57,439,91.8,1.2,91.66,0.88,0.08,3,18,117,High,Delayed,55.11,13.85
2021-08-14,VW0592,Battery,Electrical,Continental AG,53,213,95.38,2.31,84.06,0.92,0.05,2,15,172,Low,On Time,126.11,9.26
2021-08-15,VW0593,Fuel Pump,Safety System,Continental AG,137,633,83.8,0.85,97.75,0.87,0.09,1,29,79,High,On Time,136.96,12.35
2021-08-16,VW0594,Airbag Module,Braking System,Exide,164,432,87.68,0.72,69.03,0.89,0.06,1,25,146,Low,On Time,54.11,10.13
2021-08-17,VW0595,Fuel Pump,Safety System,Continental AG,454,643,100.18,1.8,70.87,0.93,0.05,1,10,104,High,On Time,72.05,7.63
2021-08-18,VW0596,Airbag Module,Fuel System,Behr Hella,381,759,105.81,2.31,45.49,0.9,0.09,1,13,54,Low,In Transit,118.27,10.27
2021-08-19,VW0597,Turbocharger,Engine,Exide,118,768,110.43,0.97,43.45,0.89,0.02,0,28,93,High,On Time,80.28,5.54
2021-08-20,VW0598,Battery,Safety System,Exide,187,568,98.67,1.48,42.73,0.85,0.06,1,28,47,Low,On Time,77.61,12.58
2021-08-21,VW0599,Battery,Engine,Behr Hella,281,166,113.42,2.18,61.39,0.93,0.04,3,17,30,High,Delayed,194.1,12.54
2021-08-22,VW0600,Turbocharger,Safety System,Exide,368,680,89.23,1.01,71.57,0.92,0.04,2,20,107,Medium,In Transit,131.35,8.27
2021-08-23,VW0601,Airbag Module,Safety System,Continental AG,166,217,82.79,1.97,55.82,0.97,0.08,4,23,148,High,On Time,188.89,7.44
2021-08-24,VW0602,Brake Pads,Engine,Garrett Motion,51,778,95.4,1.16,79.37,0.93,0.06,4,13,34,High,On Time,151.67,10.3
2021-08-25,VW0603,Battery,Engine,Bosch,345,671,100.04,2.42,56.62,0.86,0.06,3,19,104,Medium,On Time,105.7,7.78
2021-08-26,VW0604,Alternator,Braking System,Exide,98,107,88.45,0.49,49.44,1.0,0.07,2,13,51,Low,On Time,165.6,10.43
2021-08-27,VW0605,Airbag Module,Engine,Behr Hella,236,118,103.28,1.31,92.4,0.87,0.07,1,23,159,Low,In Transit,134.37,14.5
2021-08-28,VW0606,Airbag Module,Engine,Garrett Motion,275,272,111.73,1.55,65.57,0.87,0.07,1,10,122,Low,In Transit,197.71,11.64
2021-08-29,VW0607,Airbag Module,Electrical,Bosch,273,261,113.43,2.12,78.24,0.87,0.09,3,18,46,Medium,On Time,197.63,9.01
2021-08-30,VW0608,Battery,Fuel System,Bosch,482,613,99.3,1.64,42.01,0.86,0.02,1,20,127,High,Delayed,193.1,10.67
2021-08-31,VW0609,Brake Pads,Safety System,Garrett Motion,180,534,80.63,1.36,77.83,0.9,0.08,0,12,65,Medium,On Time,192.42,10.15
2021-09-01,VW0610,Airbag Module,Engine,Continental AG,396,641,104.72,1.64,73.63,0.97,0.09,4,26,46,Low,Delayed,60.99,13.37
2021-09-02,VW0611,Alternator,Braking System,Bosch,485,423,85.72,0.91,55.32,0.99,0.06,4,22,120,Low,On Time,166.67,8.78
2021-09-03,VW0612,Battery,Engine,Continental AG,132,712,89.64,1.68,97.36,0.99,0.03,4,22,173,High,In Transit,101.34,6.16
2021-09-04,VW0613,Brake Pads,Engine,Exide,491,718,115.96,2.31,45.49,1.0,0.08,4,15,41,Low,In Transit,168.17,11.78
2021-09-05,VW0614,Alternator,Engine,Behr Hella,346,135,101.28,2.26,72.68,0.97,0.03,0,19,73,Low,Delayed,146.33,8.37
2021-09-06,VW0615,Airbag Module,Electrical,Garrett Motion,127,189,85.09,0.48,61.54,0.96,0.05,4,18,156,High,In Transit,142.22,13.85
2021-09-07,VW0616,Fuel Pump,Electrical,Exide,253,355,83.5,1.16,54.12,0.92,0.06,3,12,174,High,Delayed,180.07,10.61
2021-09-08,VW0617,Alternator,Fuel System,Exide,232,549,97.84,2.08,56.62,0.95,0.03,4,14,47,Low,On Time,121.58,7.45
2021-09-09,VW0618,Brake Pads,Safety System,Exide,117,432,96.63,2.08,69.86,0.9,0.04,0,17,177,Medium,In Transit,91.17,14.95
2021-09-10,VW0619,Turbocharger,Engine,Behr Hella,451,297,114.4,1.58,45.6,0.96,0.1,1,14,163,Medium,On Time,197.45,14.62
2021-09-11,VW0620,Alternator,Braking System,Behr Hella,452,257,106.42,1.43,85.81,0.96,0.09,3,17,68,Medium,In Transit,169.74,12.2
2021-09-12,VW0621,Brake Pads,Braking System,Bosch,341,249,109.27,2.3,91.76,0.98,0.03,0,18,143,Low,Delayed,77.24,13.94
2021-09-13,VW0622,Airbag Module,Engine,Behr Hella,128,787,105.58,0.65,98.97,0.91,0.05,0,27,151,Medium,On Time,62.4,14.02
2021-09-14,VW0623,Airbag Module,Fuel System,Garrett Motion,417,410,105.54,1.75,72.33,1.0,0.08,2,10,119,Medium,On Time,192.46,5.63
2021-09-15,VW0624,Fuel Pump,Fuel System,Bosch,382,266,109.15,1.53,83.27,0.91,0.07,3,11,160,High,In Transit,155.47,6.3
2021-09-16,VW0625,Turbocharger,Electrical,Behr Hella,470,123,119.48,2.0,87.91,0.94,0.08,2,11,103,Medium,On Time,147.62,11.79
2021-09-17,VW0626,Turbocharger,Safety System,Exide,481,506,113.48,1.23,84.21,0.89,0.03,4,16,76,High,On Time,87.89,11.35
2021-09-18,VW0627,Airbag Module,Braking System,Continental AG,130,171,80.02,1.19,76.21,0.92,0.04,4,10,82,High,On Time,71.35,6.45
2021-09-19,VW0628,Alternator,Braking System,Behr Hella,207,616,118.74,0.63,58.45,0.96,0.04,1,16,90,High,On Time,99.41,6.99
2021-09-20,VW0629,Brake Pads,Safety System,Garrett Motion,270,347,116.78,1.78,54.35,0.88,0.04,1,13,129,Low,In Transit,109.88,6.74
2021-09-21,VW0630,Fuel Pump,Fuel System,Exide,65,414,84.07,2.47,73.58,0.99,0.07,1,26,175,Low,On Time,173.68,12.93
2021-09-22,VW0631,Airbag Module,Fuel System,Exide,228,544,112.15,0.51,97.84,0.9,0.07,1,16,173,Medium,On Time,148.8,15.0
2021-09-23,VW0632,Fuel Pump,Electrical,Garrett Motion,493,270,104.67,1.63,90.76,0.92,0.06,2,28,129,Medium,In Transit,151.98,10.53
2021-09-24,VW0633,Brake Pads,Engine,Garrett Motion,215,239,116.08,0.4,73.03,0.87,0.05,1,18,92,Low,On Time,75.53,14.97
2021-09-25,VW0634,Alternator,Safety System,Continental AG,252,651,80.39,2.33,53.09,0.9,0.02,2,15,49,High,Delayed,198.1,13.31
2021-09-26,VW0635,Fuel Pump,Fuel System,Continental AG,368,117,80.57,1.86,61.66,0.91,0.06,1,19,87,Low,Delayed,111.01,13.98
2021-09-27,VW0636,Alternator,Safety System,Continental AG,170,464,92.37,0.62,41.64,0.89,0.05,0,17,45,Low,Delayed,92.88,14.84
2021-09-28,VW0637,Airbag Module,Engine,Garrett Motion,425,602,116.93,0.51,72.49,0.85,0.1,0,27,177,High,In Transit,141.12,12.78
2021-09-29,VW0638,Fuel Pump,Braking System,Bosch,460,194,82.89,1.75,92.88,0.99,0.02,3,25,88,Medium,On Time,182.73,13.52
2021-09-30,VW0639,Battery,Braking System,Behr Hella,177,768,108.1,1.34,56.43,0.9,0.08,2,15,116,Medium,In Transit,190.97,9.4
2021-10-01,VW0640,Battery,Fuel System,Garrett Motion,499,725,106.1,1.06,40.07,0.9,0.05,4,14,114,Medium,In Transit,83.2,10.72
2021-10-02,VW0641,Battery,Braking System,Continental AG,129,711,97.94,1.83,86.72,0.89,0.06,1,10,154,High,On Time,134.99,11.91
2021-10-03,VW0642,Fuel Pump,Fuel System,Garrett Motion,140,447,96.84,2.09,61.24,0.88,0.09,0,23,142,Medium,Delayed,90.58,14.99
2021-10-04,VW0643,Airbag Module,Safety System,Behr Hella,144,512,114.9,1.47,83.99,0.86,0.1,3,19,164,High,On Time,56.13,14.63
2021-10-05,VW0644,Brake Pads,Braking System,Exide,131,505,86.63,0.55,91.34,0.89,0.09,4,10,58,High,In Transit,82.7,6.37
2021-10-06,VW0645,Turbocharger,Safety System,Bosch,120,392,112.13,0.36,72.38,0.9,0.03,2,26,176,Medium,In Transit,121.33,5.04
2021-10-07,VW0646,Fuel Pump,Safety System,Bosch,401,741,116.17,0.72,91.1,0.92,0.08,1,13,66,Medium,In Transit,164.02,9.13
2021-10-08,VW0647,Battery,Safety System,Garrett Motion,496,790,113.08,1.25,43.61,0.86,0.03,1,18,60,Low,In Transit,73.78,6.98
2021-10-09,VW0648,Airbag Module,Safety System,Exide,214,150,98.1,1.84,63.97,0.87,0.06,4,20,58,Low,In Transit,196.73,13.8
2021-10-10,VW0649,Brake Pads,Engine,Exide,381,265,87.76,0.51,49.92,0.9,0.06,0,10,126,High,On Time,122.5,14.16
